name,category_group
__NO_PARENT__,General expenses
Бизнес инвестиции,Investments
Аренда,Housing
Страховка жилья,Housing
Сад и Украшения,Housing
"Траспорт (авто, мото)",Major purchase
"Квартира, дом",Major purchase
Ипотека - тело,Housing
Ипотека - проценты,Housing
"Путешествия и отдых",Travel
Обучение,Education & Childcare
Няня,Education & Childcare
Танцы,Education & Childcare
Рисование,Education & Childcare
Языки,Education & Childcare
Детсад,Education & Childcare
Английский,Education & Childcare
"Улучшения жилья",Housing
